,device_id,device_name,usage_timeframe,location_latitude,location_longitude
1,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665161000,33.89386,35.49402
2,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665163000,33.89403,35.49409
3,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665165000,33.89409,35.49411
4,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665166000,33.89425,35.49416
5,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665167000,33.89426,35.49417
6,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665169000,33.89429,35.49418
7,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665171000,33.89437,35.4942
8,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665172000,33.89464,35.49427
9,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665174000,33.89464,35.49427
10,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665178000,33.89466,35.49457
11,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665179000,33.89469,35.49501
12,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665181000,33.8947,35.49529
13,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665182000,33.89471,35.49539
14,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665184000,33.89471,35.49545
15,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665186000,33.89471,35.49565
16,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665193000,33.89472,35.49603
17,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665196000,33.89472,35.49613
18,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665197000,33.89479,35.49647
19,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665198000,33.89483,35.49665
20,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665202000,33.89483,35.49665
21,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665203000,33.89482,35.4968
22,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665204000,33.89482,35.49687
23,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665206000,33.89482,35.49688
24,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665207000,33.89481,35.49702
25,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665208000,33.89481,35.4971
26,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665209000,33.89481,35.49717
27,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665211000,33.8948,35.49725
28,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665213000,33.89479,35.49732
29,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665214000,33.89478,35.4974
30,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665215000,33.89477,35.49747
31,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665216000,33.89476,35.49755
32,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665217000,33.89474,35.49762
33,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665218000,33.89472,35.49769
34,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665220000,33.89471,35.49772
35,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665221000,33.8947,35.49776
36,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665223000,33.8947,35.49777
37,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665224000,33.89468,35.49783
38,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665226000,33.89459,35.49813
39,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665227000,33.89457,35.49817
40,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665230000,33.89453,35.49834
41,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665231000,33.89451,35.4984
42,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665232000,33.89447,35.49853
43,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665233000,33.89446,35.49854
44,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665235000,33.89444,35.49863
45,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665236000,33.8944,35.49874
46,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665237000,33.89436,35.49886
47,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665239000,33.89434,35.49892
48,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665241000,33.89433,35.49894
49,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665243000,33.89428,35.49908
50,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665248000,33.89426,35.49911
51,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665249000,33.89425,35.49914
52,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665250000,33.89419,35.49929
53,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665254000,33.89419,35.4993
54,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665258000,33.89409,35.49951
55,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665262000,33.89401,35.49969
56,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665266000,33.89399,35.49973
57,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665270000,33.89382,35.5002
58,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665272000,33.89352,35.50101
59,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665274000,33.89352,35.50101
60,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665275000,33.89334,35.50118
61,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665276000,33.89333,35.50119
62,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665279000,33.89332,35.5012
63,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665280000,33.89331,35.5012
64,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665281000,33.89329,35.50121
65,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665283000,33.89328,35.50122
66,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665284000,33.89327,35.50123
67,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665291000,33.89325,35.50123
68,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665293000,33.89324,35.50124
69,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665295000,33.89322,35.50124
70,0ff0e378-db06-4543-88ef-4dcc3b677804,Astronomer maroon UDxNNhqeuV 9168,1707665296000,33.89321,35.50125
